"ExceptionuniqueID","csoshortname","impactlevel","ExceptionStatus","ExceptionPwsRequirement","ExceptionBasisForRequest","ExceptionSecurity"
"EX-1B634F75","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6434C194","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4E7827B7","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2FDBA04D","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-291B4482","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-47BEC8FC","File Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-26A1EE45","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6D0065DB","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2B0E2C5E","In-Memory Cache","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-24FD8756","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-09E2F3B8","Serverless Functions","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6F515B51","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1D2059F1","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1A810E7E","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2D989076","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3FD98A00","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-502BF370","Kubernetes","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-55FA64CB","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-43387D8C","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3D74C6B9","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-78BDBA37","Serverless Functions","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7E8869D0","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4E2CA51E","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-203BF5A4","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-51C65B41","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7C0F9691","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4A185249","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7D89AFF8","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3A9520EB","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-50AD3A90","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2DEC77C7","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-168B92E3","Load Balancing","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7614F5E5","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5485ABDF","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-53FF76CD","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-11725B79","Virtual Machines","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-42A4FD3A","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-11A2F702","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-477102DC","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-43C08FE2","VPC Networking","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-505CB309","Load Balancing","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-487C1EA4","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0FBA7B55","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-762A1A3E","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1B451AF6","Bare Metal","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-28985AA9","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5AB5446E","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4D5C3166","File Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-65FD7D7C","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-19B5B4C7","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-22371F7D","Object Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-397D7EAD","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-05332E15","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4C351AF5","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5DBAB32F","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-64CD4DFA","In-Memory Cache","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-208F9CDF","Kubernetes","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-23F0B3F2","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-68F178BB","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-25DE2BD3","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-23EFBA02","SQL Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2BCD0224","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-23C1DF52","Object Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4933EA44","Identity Access (IAM)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-61785B85","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-65ADE273","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-35C9840E","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-10DC0C7D","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2C2E944C","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-45593AB1","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5F641C95","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2AD19DA5","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1D6551B4","Serverless Functions","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4F8711A6","Load Balancing","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5ADFCD1B","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-352113FD","Kubernetes","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-63B859A5","SQL Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6B36CADE","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4868A96B","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-06F5A388","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-738B481A","Identity Access (IAM)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-09E7969D","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4CD944F1","SQL Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-78BA614F","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6421E174","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-42E584D8","Virtual Machines","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-26090F18","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6FF5ECE7","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-107FE733","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0B1D579D","SQL Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-23FED707","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1266D17C","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3579B689","Virtual Machines","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4E6780EE","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-77ABA2BD","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0B4F87F2","Bare Metal","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-07D551EC","In-Memory Cache","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1CF607B3","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4E42793E","VPC Networking","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3854804A","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1CEB7403","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-383BD2B6","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-034FA197","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-710EAF65","Object Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4866A5D0","Identity Access (IAM)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-201EAF2A","Object Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1E4E73DC","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-06DBCCB2","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2089B097","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1D156F9C","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-78321C37","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0C6B86D8","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-45898C27","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0B7472E9","Message Queue","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7B949C7C","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-54C20090","Load Balancing","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4362A2D9","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-731738CA","Bare Metal","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-334F0A60","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6F5267C8","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-190562B7","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7DA553B1","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-11FE678C","Serverless Functions","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3B468A1A","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-42A04503","File Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-02667320","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-48195BBB","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-65E5CDEE","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-67984B7D","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3FBF126C","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6E6B6F47","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1FE38925","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7ECCF7FB","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5D57173C","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-29964C45","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0CB84FBF","Bare Metal","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-25593DCB","VPC Networking","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6C8235CA","Block Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4B56005C","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-45173873","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1C71C9B3","Serverless Functions","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-58A581C0","Object Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-65FDCD37","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0E1FEE9B","Bare Metal","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7993BAF0","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6254741D","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-236B9D12","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-30C1C5F5","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5F872D94","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3B0BD3B3","Serverless Functions","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-31385E9D","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3DB6317D","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-50982FA1","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1ACEE98E","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6A52495B","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5B539E31","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-487E4399","Graph Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-547EA075","Message Queue","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-69D645C1","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-244138FA","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5C104D31","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-758E1024","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-22553B61","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1448E011","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-50FF23AB","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-41C8579C","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3B2D13C3","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-702EA226","Bare Metal","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-68C9EFF4","Block Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4115DFA2","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-74F7CC66","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6A3DF09F","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-35F03E42","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7B29B309","Load Balancing","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6B8BBBF2","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-54DBA14E","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0A48B917","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7A3FEB39","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4FB50265","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2C017B6C","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-78FD026B","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3393397A","SQL Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-72D66178","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3073AD76","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7A245EA9","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3F4F4F6E","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-20374BC0","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-306AD06F","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6662445C","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-68898A5E","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-71C66406","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3351B81B","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4261D841","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3D1BC97D","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-39629858","Message Queue","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4F937F88","Virtual Machines","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2EBB1348","Kubernetes","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-09C4E897","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-298458CC","Message Queue","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-50D48DDA","Load Balancing","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7A28550F","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-55343AF9","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4DD2E1FE","Bare Metal","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-460BDDE1","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3AF7C154","File Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-57E0EE20","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1085CE06","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-687B1F6A","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-45A8B893","Graph Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5C19CE04","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-399581F8","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-15130C36","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-663A1C6A","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-29C5CDF2","Message Queue","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7CAD3267","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-34EB2E92","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-48EF230E","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-14C55056","Object Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-78635C16","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-66C6511C","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-261404D3","Object Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-44E47BB7","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3BCCE01F","Bare Metal","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-44A7F4F8","In-Memory Cache","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-532638C3","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-538016DB","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-00A33AFF","File Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2C639FC5","VPC Networking","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-77C96336","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6AAE77C5","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7334BE37","VPC Networking","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3705FB27","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-231ED9A5","Serverless Functions","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-73FAB1B9","VPC Networking","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5FDDCD56","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-12005B70","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-17F8E261","Message Queue","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-70EEAEE7","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5712F8D9","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-54905B67","Kubernetes","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5BBA0CCC","Kubernetes","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-40DB2E55","Graph Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-68D47A9F","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-30F9EB3C","Message Queue","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-689ED765","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0E44DE1E","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4E203AA8","In-Memory Cache","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-13DE89AA","Identity Access (IAM)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-472CFEC5","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-79E32E58","Kubernetes","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
